Park Name,Park Category,Description,Address Line 1,Address Line 2,Address Line 3,City,State,Zip Code,Phone Number
Great Egg Harbor River,,"The River gradually widens as it picks up the waters of 17 tributaries on its way to Great Egg Harbor and the Atlantic Ocean. Established by Congress in 1992, nearly all of this 129-mile river system rests within the Pinelands National Reserve. This National Park Service unit is unusual in that local jurisdictions continue to administer the lands.",Great Egg Harbor National Scenic and Recreational River,200 Chestnut Street,,Philadelphia,PA,19106,(215) 597-5823
Lower Delaware,National Wild and Scenic River,"The largest free-flowing river in the eastern United States, the Delaware River runs past forests, farmlands, and villages, and it also links some of the most densely populated regions in America.
In 2000, the National Wild and Scenic River System incorporated key segments of the lower Delaware River to form this unit of the National Park System.",NPS Wild & Scenic Rivers,200 Chestnut Street,,Philadelphia,PA,19106,215-597-6482
Morristown,National Historical Park,"Morristown National Historical Park commemorates the sites of General Washington and the Continental army’s winter encampment of December 1779 to June 1780, where they survived through what would be the coldest winter on record. The park also maintains a museum & library collection related to the encampments & George Washington, as well as items relating to pre- and post-Revolutionary America.",30 Washington Place,,,Morristown,NJ,7960,973.539.2016
New Jersey Pinelands,National Reserve,"This is truly a special place. It's classified as a United States Biosphere Reserve and in 1978 was established by Congress as the country’s first National Reserve. It includes portions of seven southern New Jersey counties, and encompasses over one-million acres of farms, forests and wetlands. It contains 56 communities, from hamlets to suburbs, with over 700,000 permanent residents.",New Jersey Pinelands Commission,15 Springfield Road,PO Box 359,New Lisbon,NJ,8064,(609) 894-7300
Paterson Great Falls,National Historical Park,"Cotton and silk fabrics; steam locomotives; continuous rolls of paper; airplane engines. What do these things have in common? They were all manufactured in the same place - Paterson, NJ.
In 1792, Paterson was established, America's first planned industrial city, centered around the Great Falls of the Passaic River. From humble mills rose industries that changed the face of the United States.",72 McBride Avenue Extension,,,Paterson,NJ,7501,973-523-0370
Thomas Edison,National Historical Park,"Thomas Edison’s home and laboratory are a step back in time, when machines were run by belts and pulleys and music was played on phonographs.  Where to the uninformed passerby, the buildings betray little evidence of the industries they once started.  Discover where America’s greatest inventor changed our world forever.",211 Main Street,,,West Orange,NJ,7052,973-736-0550
Washington-Rochambeau Revolutionary Route,National Historic Trail,"In 1781, General Rochambeau’s French Army joined forces with General Washington’s Continental Army to fight the British Army in Yorktown, Virginia. With the French Navy in support, the allied armies moved hundreds of miles to become the largest troop movement of the American Revolution. The effort and cooperation between the two sides led to a victory at Yorktown and secured American independence.",Washington-Rochambeau National Historic Trail,,1400 North Outer Line Drive,King of Prussia,PA,19406,610-783-1006
Aztec Ruins,National Monument,Pueblo people describe this site as part of their migration journey. Today you can follow their ancient passageways to a distant time. Explore a 900-year old ancestral Pueblo Great House of over 400 masonry rooms. Look up and see original timbers holding up the roof. Search for the fingerprints of ancient workers in the mortar. Listen for an echo of ritual drums in the reconstructed Great Kiva.,725 Ruins Road,,,Aztec,NM,87410,505 334-6174
Bandelier,National Monument,"Bandelier National Monument protects over 33,000 acres of rugged but beautiful canyon and mesa country as well as evidence of a human presence here going back over 11,000 years.  Petroglyphs, dwellings carved into the soft rock cliffs, and standing masonry walls pay tribute to the early days of a culture that still survives in the surrounding communities.",Bandelier National Monument,15 Entrance RD,,Los Alamos,NM,87544,505 672-3861
Capulin Volcano,National Monument,"Part of the 8,000 square mile Raton-Clayton Volcanic Field, Capulin Volcano showcases the volcanic geology of northeastern New Mexico.  The views are spectacular day or night, with views of 4 different states from the volcanic rim and one of the darkest night skies in the country.
Whether it's a quick stop or a day's trip, enjoy exploring the landscape of this unique volcano!",P.O. Box 40,,,Des Moines,NM,88418,575 278-2201
Carlsbad Caverns,National Park,"High ancient sea ledges, deep rocky canyons, flowering cactus, and desert wildlife—treasures above the ground in the Chihuahuan Desert. Hidden beneath the surface are more than 119 caves—formed when sulfuric acid dissolved limestone leaving behind caverns of all sizes.",3225 National Parks Highway,,,Carlsbad,NM,88220,575 785-2232
Chaco Culture,National Historical Park,"Today the massive buildings of the Ancestral Puebloan people still testify to the organizational and engineering abilities not seen anywhere else in the American Southwest. For a deeper contact with the canyon that was central to thousands of people between 850 and 1250 A.D., come and explore Chaco through guided tours, hiking & biking trails, evening campfire talks, and night sky programs.",PO Box 220,,,Nageezi,NM,87037,505 786-7014
El Camino Real de Tierra Adentro,National Historic Trail,"Travel along El Camino Real de Tierra Adentro National Historic Trail to experience and learn from a complicated legacy of 300 years of conflict, cooperation, and cultural exchange between a variety of empires—European and non-European alike.",National Trails Office  Regions 6|7|8,El Camino Real de Tierra Adentro National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505 988-6098
El Malpais,National Monument,"The richly diverse volcanic landscape of El Malpais (el-mal-pie-EES) offers solitude, recreation, and adventure. Explore incredible geologic features such as lava flows, cinder cones, lava tube caves, and sandstone bluffs. While some may see a desolate environment, people have been adapting to and living in this extraordinary terrain for generations. Come discover the land of fire and ice!",1900 E. Santa Fe Ave.,,,Grants,NM,87020,505 876-2783
El Morro,National Monument,"Imagine the refreshment of finding water after days of dusty travel. A reliable waterhole hidden at the base of a sandstone bluff made El Morro (the headland) a popular campsite for hundreds of years. Here, Ancestral Puebloans, Spanish and American travelers carved over 2,000 signatures, dates, messages, and petroglyphs.  Make El Morro National Monument a stopping point on your travels.",HC 61 Box 43,,,Ramah,NM,87321,505 783-4226
Fort Union,National Monument,"Exposed to the wind, within a sweeping valley of short grass prairie, amid the swales of the Santa Fe Trail, lie the territorial-style adobe remnants of the largest 19th century military fort in the region. For forty years, 1851-1891, Fort Union functioned as an agent of political and cultural change, whether desired or not, in New Mexico and throughout the Southwest.",PO Box 127,,,Watrous,NM,87753,505 425-8025
Gila Cliff Dwellings,National Monument,"For thousands of years, groups of nomadic people used the caves of the Gila River as temporary shelter. In the late 1200's, people of the Mogollon Culture decided it would be a good place to call home. They built rooms, crafted pottery and raised children in the cliff dwellings for about twenty years. Then the Mogollon moved on, leaving the walls for us as a glimpse into the past.",26 Jim Bradford Trail,,,Mimbres,NM,88049,575-536-9461
Manhattan Project,National Historical Park,"The Manhattan Project is one of the most transformative events of the 20th century. It ushered in the nuclear age with the development of the world’s first atomic bombs. The building of atomic weapons began in 1942 in three secret communities across the nation. As World War II waned in 1945, the United States dropped the atomic bombs on Hiroshima and Nagasaki, Japan — forever changing the world.",Manhattan Project National Historical Park,c/o NPS Intermountain Regional Office,P.O. Box 25287,Denver,CO,80225-0287,Hanford: 509.376.1647
Old Spanish,National Historic Trail,"Follow the routes of mule pack trains across the Southwest on the Old Spanish National Historic Trail between Santa Fe, New Mexico, and Los Angeles, California. New Mexican traders moved locally produced merchandise across what are now six states to exchange for mules and horses.",National Trails Office Regions 6|7|8,Old Spanish National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505 988-6098
Pecos,National Historical Park,"In the midst of piñon, juniper, and ponderosa pine woodlands of the Sangre de Cristo Mountains not far from Santa Fe, the remains of Indian pueblos stand as meaningful reminders of people who once prevailed. Pecos National Historical Park helps visitors explore the cultural exchange and geographic features that played such crucial roles in the rich history of the Pecos Valley.",Pecos National Historical Park,P.O. Box 418,,Pecos,NM,87552,505 757-7241
Petroglyph,National Monument,"Petroglyph National Monument protects one of the largest petroglyph sites in North America, featuring designs and symbols carved onto volcanic rocks by Native Americans and Spanish settlers 400 to 700 years ago. These images are a valuable record of cultural expression and hold profound spiritual significance for contemporary Native Americans and for the descendants of the early Spanish settlers.",Headquarters Administration Offices,6001 Unser Blvd. NW,,Albuquerque,NM,87120,505 899-0205
Salinas Pueblo Missions,National Monument,"Tucked away in the middle of New Mexico you’ll find Salinas Pueblo Missions National Monument.  Its three distinct sites offer a glimpse into a unique time in history—a time entrenched with cultural borrowing, conflict and struggles.  These sites continue to stand as reminders of the Spanish and Pueblo peoples’ early encounters and prompt exploration of today’s interactions among different people.",Salinas Pueblo Missions National Monument,PO Box 517,105 South Ripley Street,Mountainair,NM,87036-0517,505 847-2585
Santa Fe,National Historic Trail,"You can almost hear the whoops and cries of ""All's set!"" as trail hands hitched their oxen to freight wagons carrying cargo between western Missouri and Santa Fe, New Mexico. Follow the Santa Fe National Historic Trail through five states and you'll find adventure and evidence of past travelers who made this remarkable trip before you!",National Trails Office Regions 6|7|8,Santa Fe National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
Valles Caldera,National Preserve,"About 1.25 million years ago, a spectacular volcanic eruption created the 13-mile wide circular depression now known as the Valles Caldera.  The preserve is known for its huge mountain meadows, abundant wildlife, and meandering streams. The area also preserves the homeland of ancestral native peoples and embraces a rich ranching history.",PO Box 359,,,Jemez Springs,NM,87025,575 829-4100
White Sands,National Park,"Rising from the heart of the Tularosa Basin is one of the world's great natural wonders - the glistening white sands of New Mexico. Great wave-like dunes of gypsum sand have engulfed 275 square miles of desert, creating the world's largest gypsum dunefield. White Sands National Park preserves a major portion of this unique dunefield, along with the plants and animals that live here.",PO Box 1086,,,Holloman AFB,NM,88330,575 479-6124
African Burial Ground,National Monument,African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It protects the historic role slavery played in building New York,African Burial Ground NM,C/O Federal Hall National Memorial,26 Wall St,New York,NY,10005,212 238-4367
Appalachian,National Scenic Trail,"The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers.",Appalachian Trail Park Office,P.O. Box 50,,Harpers Ferry,WV,25425,304 535-6278
Captain John Smith Chesapeake,National Historic Trail,"People first arrived in the Chesapeake Bay during the last ice age. As glaciers melted, diverse societies learned to thrive in a world of water. When Englishman Captain John Smith explored the Bay in 1608, he documented hundreds of American Indian communities. Today, sites on his map are archeological treasures and sacred sites for tribal citizens. Come join us on the shores of the Chesapeake Bay!",P.O. Box 210,,,Yorktown,VA,23690,(757) 856-1220
Castle Clinton,National Monument,"Located at the southern tip of Manhattan Island, Castle Clinton stands where New York City began, and represents not only the city’s growth, but the growth of a nation. Initially intended to prevent a British invasion in 1812, the fortification has transformed over the years to welcome theatergoers, immigrants, sightseers, and now, millions of visitors to New York Harbor.",26 Wall St,,,New York,NY,10005,212 344-7220
Chesapeake Bay,,"NPS helps you learn about and enjoy the Chesapeake Bay, the largest estuary in North America.
Here, you can visit major league cities, colonial towns, American Indian landscapes, farms and fishing villages. You can learn to kayak, pick crabs, go fishing, tour a lighthouse, slurp oysters, and slow down to enjoy the natural beauty of the Chesapeake.",1750 Forest Drive,Suite 140,,Annapolis,MD,21401,410 260-2470
Eleanor Roosevelt,National Historic Site,"Visit the home of Eleanor Roosevelt. Here, Franklin and Eleanor entertained friends, state visitors, the press, and their associates in the tranquil and relaxed atmosphere of Val-Kill. Explore the Roosevelt saga in the homes of Franklin and Eleanor Roosevelt, the exhibits at the nation’s first Presidential Library, and over a thousand acres of gardens and trails.",4097 Albany Post Road,,,Hyde Park,NY,12538,845-229-7770
Ellis Island,Part of Statue of Liberty National Monument,"How far would you travel to find a better life? What if the journey took weeks under difficult conditions?  If you answered ""Whatever it takes,"" you echo the feelings of the 12 million immigrants who passed through these now quiet halls from 1892 to 1954. Ellis Island afforded them the opportunity to attain the American dream for themselves and their descendants. Come hear their stories.",Ellis Island Receiving Center,Statue of Liberty National Monument,,Jersey City,NJ,7305,212 363-3200
Federal Hall,National Memorial,"Here on Wall Street, George Washington took the oath of office as our first President, and this site was home to the first Congress, Supreme Court, and Executive Branch offices. The current structure, a Customs House, later served as part of the US Sub-Treasury. Now, the building serves as a museum and memorial to our first President and the beginnings of the United States of America.",26 Wall Street,,,New York,NY,10005,212 825-6990
Fire Island,National Seashore,"Immerse yourself in an enchanting collage of coastal life and history. Rhythmic waves, high dunes, ancient maritime forests, historic landmarks and glimpses of wildlife, Fire Island has been a special place for diverse plants, animals and people for centuries. Far from the pressure of nearby big-city life, dynamic barrier island beaches offer solitude, camaraderie, and spiritual renewal.",120 Laurel Street,,,Patchogue,NY,11772,631-687-4750
Fort Stanwix,National Monument,"For centuries, the Oneida Carrying Place, a six mile portage connecting the Mohawk River and Wood Creek, served as a vital link for those traveling by water from the ocean to the Great Lakes. When Europeans arrived, nations fought for control of the carry, the homelands of the Six Nations Confederacy, and the rich resources of North America. In this struggle, Fort Stanwix would play a vital role.",112 East Park St.,,,Rome,NY,13440,315-338-7730
Gateway,National Recreation Area,"Spanning 27,000 acres from Sandy Hook in New Jersey to Breezy Point in New York City, the park is both the gateway from the ocean into New York Harbor, and the gateway to the National Park Service for millions of visitors every year. Gateway offers green spaces and beaches alongside historic structures and cultural landscapes. Every day, Gateway is open for you to explore, envision, and enjoy!",210 New York Avenue,,,Staten Island,NY,10305,718 354-4606
General Grant,National Memorial,"The final resting place of President Ulysses S. Grant and his wife, Julia, is the largest mausoleum in North America. It testifies to a people’s gratitude for the man who ended the bloodiest conflict in American history as Commanding General of the Union Army and then, as President of the United States, strove to heal a nation after a civil war and make rights for all citizens a reality.",26 Wall Street,,,New York,NY,10005,646 670-7251
Governors Island,National Monument,"From 1794 to 1966, the U.S. Army on Governors Island was part of the social, political, and economic tapestry of New York City. Today, the island is a vibrant summer seasonal venue of art, culture, and performance against the backdrop of two centuries of military heritage and the skyline of one of the great cities of the world. The island is open to the public. Check Alerts",10 South Street,,,New York,NY,10004-1921,646 771-9728
Hamilton Grange,National Memorial,"Merchant’s clerk, Revolutionary War soldier, first Secretary Treasury of the United States: Alexander Hamilton’s life is memorialized at The Grange, the home he built on a country estate in uptown Manhattan. A faithful testament to early American architecture, it stands today as a tribute to its first owner’s many accomplishments.",414 West 141st Street,,,New York,NY,10031,
Harriet Tubman,National Historical Park,"Harriet Tubman was guided by a deep faith and devotion to family, freedom, and community. After emancipating herself and members of her family, she moved them from Ontario, Canada to Fleming and Auburn, New York in 1859. Central New York was a center for progressive thought, abolition, and women’s suffrage where Tubman continued to fight for human rights and dignity until she died in 1913.",Harriet Tubman National Historical Park,P.O. Box 769,,Auburn,NY,13021-0769,315-882-8060
Home Of Franklin D Roosevelt,National Historic Site,"Home to the 32nd and longest-serving president of the United States, Franklin D. Roosevelt returned to Hyde Park often, drawing on this place to renew his spirit during times of personal and political crisis. Explore the Roosevelt saga in the homes of Franklin and Eleanor Roosevelt, the exhibits at the nation’s first Presidential Library, and over a thousand acres of gardens and trails.",4097 Albany Post Rd,,,Hyde Park,NY,12538,845 229-5320
Lower East Side Tenement Museum,National Historic Site,"The heart of the museum is it historic tenements, home to an estimated 7,000 people from over 20 nations between 1863 and 1935. The tenement’s cramped living spaces, the lives of past residents, and the history of the Lower East Side, contribute to its representation of the immigrant experience. Experience this museum through various in person and virtual programming today!",103 Orchard Street,,,New York,NY,10002,877 975-3786
Martin Van Buren,National Historic Site,"Today, Martin Van Buren is an obscure man, often little more than a footnote. In pre-Civil War America, however, it was impossible not to have an opinion of him. Van Buren was central to the creation of America's political parties, and to the largest crisis of his time, slavery. The above quote is from Davy Crockett, one of many Americans trying to understand the Red Fox of Kinderhook.",Martin Van Buren NHS,1013 Old Post Road,,Kinderhook,NY,12106-3605,518 758-9689
National Parks of New York Harbor,,"These 11 sites preserve more than 400 years of American history! We invite you to explore the past and investigate its relevance in our lives today. From the birth of American democracy to the evolution of commerce, harbor defense, ecology and immigration, the breadth of themes commemorated through the National Parks of New York Harbor reflect the richness and diversity of our heritage.",26 Wall Street,,,New York,NY,10007,212-668-3363
North Country,National Scenic Trail,"Come to the North Country. Trek the hills and valleys. Stand on the shores of lakes & streams from glaciers 10,000 years before. Clear-flowing water, red/gold of autumn, a fairyland of snow, open prairies, and distant horizons paint the land. Historic sites along the way tell how America settled and grew as a nation. From North Dakota to Vermont, adventure is never far away.","318 East Main Street, Suite K",,,Lowell,MI,49331,616 319-7906
Sagamore Hill,National Historic Site,"Sagamore Hill was the home of Theodore Roosevelt, 26th President of the United States, from 1885 until his death in 1919. During Roosevelt's time in office, his ""Summer White House"" was the focus of international attention. Explore 83 acres of natural surroundings and historic buildings and become inspired by the legacy of one of America's most popular presidents.",20 Sagamore Hill Road,,,Oyster Bay,NY,11771,516 922-4788
Saint Paul's Church,National Historic Site,"Since 1665, Saint Paul's Church played a vital role in the colonial life of Eastchester, 20 miles north of New York City. Townspeople voted at the nearby Village Green; local militia drilled outside its doors. But the American Revolution changed everything. American, British and Hessian troops tore down the old wooden meetinghouse for firewood and used the unfinished stone chapel as a hospital.",897 South Columbus Avenue,,,Mount Vernon,NY,10550,914 667-4116
Saratoga,National Historical Park,"Here, in 1777, during the American War for Independence, American troops battled and beat a British invasion force, marking the first time in world history that a British Army ever surrendered. This crucial victory secured essential foreign recognition and support, instigated world-wide wars, affirmed United States independence, and changed the face of the world.",648 Route 32,,,Stillwater,NY,12170,(518) 670-2985
Statue Of Liberty,National Monument,"""The Statue of Liberty Enlightening the World"" was a gift of friendship from the people of France to the United States and is recognized as a universal symbol of freedom and democracy. The Statue of Liberty was dedicated on October 28, 1886.  It was designated as a National Monument in 1924.  Employees of the National Park Service have been caring for the colossal copper statue since 1933.",Liberty Island,,,New York,NY,10004,212 363-3200
Stonewall,National Monument,"Before the 1960s almost everything about living openly as a lesbian, gay, bisexual, transgender, or queer (LGBTQ) person was illegal. New York City laws against homosexual activities were particularly harsh. The Stonewall Uprising on June 28, 1969 is a milestone in the quest for LGBTQ civil rights and provided momentum for a movement.",26 Wall Street,Federal Hall National Monument c/o Stonewall National Monument,,New York,NY,10005,212-668-2577
Theodore Roosevelt Birthplace,National Historic Site,"This is the boyhood home of the first U.S. president to be born in New York City. Raised in a townhouse at 28 E. 20th St., Theodore Roosevelt would grow up to be our 26th President and become immortalized on Mount Rushmore. However, he started life as a sickly yet bright boy who exercised to improve his health and began a lifelong passion for the ""strenuous life.""",28 East 20th Street,,,New York,NY,10003,212 260-1616
Theodore Roosevelt Inaugural,National Historic Site,"As president, Theodore Roosevelt created protections for ordinary citizens, began regulation of big business, and made the US a major force in international affairs. Yet one of the most important presidencies in America's history nearly didn't happen. See the place where a brief, emotional, and improvised ceremony in Buffalo, NY brought TR into office, and forever altered the nation.",Theodore Roosevelt Inaugural Site,641 Delaware Avenue,,Buffalo,NY,14202,716 884-0095
Thomas Cole,National Historic Site,"In 1825, America was still a new nation, just forming its own unique identity and traditions. Thomas Cole invented a new style of art, one that Americans could call their own. His landscape paintings launched the art movement known as the Hudson River School.
His groundbreaking achievements took place here in Catskill, New York -- in the ""peaceful shades"" of his beloved home, Cedar Grove.",PO Box 426,218 Spring Street,,Catskill,NY,12414,518.943.7465
Upper Delaware,Scenic & Recreational River,"Canoe through rapids and quiet pools as the Delaware River winds its way through a valley of swiftly changing scenery or fish amid rolling hills and riverfront villages in one of the finest fishing rivers in the northeastern United States. The clean water of the Delaware, the last major undammed river in the eastern United States, supports a healthy ecosystem and offers tranquility and excitement.",274 River Road,,,Beach Lake,PA,18405,570 685-4871
Vanderbilt Mansion,National Historic Site,Built by of one of the first families of wealth in America. Designed by one of the nation's preeminent architects. The Vanderbilt Mansion is a home built expressly for the aristocratic lifestyle.,4097 Albany Post Road,,,Hyde Park,NY,12538,845 229-7770
Washington-Rochambeau Revolutionary Route,National Historic Trail,"In 1781, General Rochambeau’s French Army joined forces with General Washington’s Continental Army to fight the British Army in Yorktown, Virginia. With the French Navy in support, the allied armies moved hundreds of miles to become the largest troop movement of the American Revolution. The effort and cooperation between the two sides led to a victory at Yorktown and secured American independence.",Washington-Rochambeau National Historic Trail,,1400 North Outer Line Drive,King of Prussia,PA,19406,610-783-1006
Women's Rights,National Historical Park,"Women’s Rights National Historical Park tells the story of the first Women’s Rights Convention held in Seneca Falls, NY on July 19-20,1848.  It is a story of struggles for civil rights, human rights, and equality, global struggles that continue today.  The efforts of women’s rights leaders, abolitionists, and other 19th century reformers remind us that all people must be accepted as equals.",136 Fall Street,,,Seneca Falls,NY,13148,315 568-0024
Appalachian,National Scenic Trail,"The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers.",Appalachian Trail Park Office,P.O. Box 50,,Harpers Ferry,WV,25425,304 535-6278
Blue Ridge,Parkway,"A Blue Ridge Parkway experience is unlike any other: a slow-paced and relaxing drive revealing stunning long-range vistas and close-up views of the rugged mountains and pastoral landscapes of the Appalachian Highlands. The Parkway meanders for 469 miles, protecting a diversity of plants and animals, and providing opportunities for enjoying all that makes this region of the country so special.",199 Hemphill Knob Rd,,,Asheville,NC,28803,828 348-3400
Cape Hatteras,National Seashore,"The sound of ocean waves, the starry night sky, or the calm of the salt marshes, you can experience it all. Shaped by the forces of water, wind, and storms these islands are ever changing. The plants, wildlife, and people who live here adapt continually. Whether you are enjoying the beach, kayaking the sound, or climbing the Cape Hatteras Lighthouse there is something for everyone to explore!",Cape Hatteras National Seashore,1401 National Park Drive,,Manteo,NC,27954,252 473-2111
Cape Lookout,National Seashore,"A boat ride three miles off-shore brings you to the barrier islands of Cape Lookout National Seashore.  Horse watching, shelling, fishing, birding, camping, lighthouse climbing, and touring historic villages--there’s something for everyone at Cape Lookout.  Be sure to bring all the food, water, and supplies you need (and carry your trash out of the park) when visiting these remote beaches.",131 Charles St,,,Harkers Island,NC,28531,252 728-2250
Carl Sandburg Home,National Historic Site,"“I make it clear why I write as I do and why other poets write as they do. After hundreds of experiments I decided to go my own way in style and see what would happen.”
Carl Sandburg's free verse style of poetry, journalism, biography, children's stories, prose writing, and social activism provided a popular voice for the American people of the twentieth century.",81 Carl Sandburg Lane,,,Flat Rock,NC,28731,828 693-4178
Fort Raleigh,National Historic Site,"Fort Raleigh National Historic Site protects and preserves known portions of England's first New World settlements from 1584 to 1590.
This site also preserves the cultural heritage of the Native Americans, European Americans and African Americans who have lived on Roanoke Island.",Fort Raleigh National Historic Site,1401 National Park Drive,,Manteo,NC,27954,252 473-2111
Great Smoky Mountains,National Park,"Ridge upon ridge of forest straddles the border between North Carolina and Tennessee in Great Smoky Mountains National Park. World renowned for its diversity of plant and animal life, the beauty of its ancient mountains, and the quality of its remnants of Southern Appalachian mountain culture, this is America's most visited national park. Plan your visit today!",107 Park Headquarters Road,,,Gatlinburg,TN,37738,865 436-1200
Guilford Courthouse,National Military Park,"""I never saw such fighting since God made me. The Americans fought like demons."" - Lt. General Charles, Earl Cornwallis
On March 15, 1781, six years into the American Revolution, General Greene and Lord Cornwallis' troops faced off at a small courthouse community. This 2.5 hour battle would change the course of the Southern Campaign of the American Revolution.",2332 New Garden Road,,,Greensboro,NC,27410,336 288-1776
Moores Creek,National Battlefield,"In the early morning hours of February 27, 1776, Loyalist forces charged across a partially dismantled Moores Creek Bridge. Beyond the bridge, nearly 1,000 North Carolina Patriots waited quietly with cannons and muskets poised to fire. This battle marked the last broadsword charge by Scottish Highlanders and the first significant victory for the Patriots in the American Revolution.",40 Patriots Hall Dr.,,,Currie,NC,28435,910 283-5591
Overmountain Victory,National Historic Trail,"Stretching 330 miles through four states (Virginia, Tennessee, North and South Carolina) the Overmountain Victory National Historic Trail traces the route used by patriot militia during the pivotal Kings Mountain campaign of 1780. Follow the campaign by utilizing a Commemorative Motor Route which uses existing state highways marked with the distinctive trail logo, or 87 miles of walkable pathways.",338 New Pleasant Road,,,Gaffney,SC,29341,864 461-2828
Trail Of Tears,National Historic Trail,"Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839.",National Trails Office Regions 6|7|8,Trail of Tears National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505 988-6098
Wright Brothers,National Memorial,"Wind, sand, and a dream of flight brought Wilbur and Orville Wright to Kitty Hawk, North Carolina where, after four years of scientific experimentation, they achieved the first successful airplane flights on December 17, 1903.
With courage and perseverance, these self-taught engineers relied on teamwork and application of the scientific process. What they achieved changed our world forever.",Wright Brothers National Memorial,1401 National Park Drive,,Manteo,NC,27954,252 473-2111
Fort Union Trading Post,National Historic Site,"Between 1828 and 1867, Fort Union was the most important fur trade post on the Upper Missouri River. Here, the Assiniboine and six other Northern Plains Tribes exchanged buffalo robes and smaller furs for goods from around the world, including cloth, guns, blankets, and beads. A bastion of peaceful coexistence, the post annually traded over 25,000 buffalo robes and $100,000 in merchandise.",15550 Highway 1804,,,Williston,ND,58801,701 572-9083
Knife River Indian Villages,National Historic Site,"Earthlodge people hunted bison and other game, but were in essence farmers living in villages along the Missouri and its tributaries. The site was a major Native American trade center for hundreds of years prior to becoming an important market place for fur traders after 1750.",P.O. Box 9,,,Stanton,ND,58571,701 745-3300
Lewis & Clark,National Historic Trail,"The Lewis and Clark National Historic Trail is approximately 4,900 miles long, extending from Pittsburgh, Pennsylvania, to the mouth of the Columbia River, near present day Astoria, Oregon.  It follows the historic outbound and inbound routes of the Lewis and Clark Expedition as well as the preparatory section from Pittsburgh, Pennsylvania to Wood River, Illinois.",601 Riverfront Dr.,,,Omaha,NE,68102,402 661-1804
North Country,National Scenic Trail,"Come to the North Country. Trek the hills and valleys. Stand on the shores of lakes & streams from glaciers 10,000 years before. Clear-flowing water, red/gold of autumn, a fairyland of snow, open prairies, and distant horizons paint the land. Historic sites along the way tell how America settled and grew as a nation. From North Dakota to Vermont, adventure is never far away.","318 East Main Street, Suite K",,,Lowell,MI,49331,616 319-7906
Theodore Roosevelt,National Park,"When Theodore Roosevelt came to Dakota Territory to hunt bison in 1883, he was a skinny, young, spectacled dude from New York. He could not have imagined how his adventure in this remote and unfamiliar place would forever alter the course of the nation. The rugged landscape and strenuous life that TR experienced here would help shape a conservation policy that we still benefit from today.",PO Box 7,,,Medora,ND,58645,701 623-4466
American Memorial,Park,"American Memorial Park honors the American and Marianas people who gave their lives during the Marianas Campaign of World War II. At the park, memorials stand in tribute to the courage and sacrifice of the US Servicemen and Chamorro and Carolinian civilians who were killed in the battles between the United States and Japan that took place on Saipan, Tinian, and the Philippine Sea in 1944.",P.O. Box 5198,Garapan,,Saipan,MP,96950,670 234-7207
Charles Young Buffalo Soldiers,National Monument,"Throughout his life, Charles Young overcame countless obstacles in his ascent to prominence.  In spite of overt racism and stifling inequality, Young rose through the military ranks to become one of the most respected leaders of his time.  A well-rounded man with a steadfast devotion to duty, Young led by example and inspired a generation of new leaders.",P.O. Box 428,,,Wilberforce,OH,45384,937 352-6757
Cuyahoga Valley,National Park,"Though a short distance from the urban areas of Cleveland and Akron, Cuyahoga Valley National Park seems worlds away. The park is a refuge for native plants and wildlife, and provides routes of discovery for visitors. The winding Cuyahoga River gives way to deep forests, rolling hills, and open farmlands. Walk or ride the Towpath Trail to follow the historic route of the Ohio & Erie Canal.",15610 Vaughn Road,,,Brecksville,OH,44141,440 717-3890
Dayton Aviation Heritage,National Historical Park,"Three exceptional men from Dayton, Ohio, Wilbur Wright, Orville Wright and Paul Laurence Dunbar, found their creative outlet here through accomplishments and failures, and finally success. However, these men offered the world something far greater, they offered the world hope, and the ability to take a dream and make it a reality.",16 South Williams Street,,,Dayton,OH,45402,937 225-7705
First Ladies,National Historic Site,"First Ladies National Historic Site consists of two properties in downtown Canton, Ohio - the home of First Lady Ida Saxton-McKinley and our Education Center. Come learn about how the position of First Lady has evolved over time to include a public role.",205 Market Avenue South,,,Canton,OH,44702-2107,(330) 452-0876
